amount_minor,payment_failure_count,successful_payment_count,retry_count,customer_tenure_days,historical_recovery_count,historical_recovery_success_count,payment_hour,payment_day_of_week,preferred_payment_method,failure_reason,ground_truth_prob,recovered
1903973,3,18,1,61,2,2,6,5,upi,temporary_gateway_issue,0.855,0
4756035,0,14,3,147,2,2,21,5,wallet,temporary_gateway_issue,0.715,1
3673370,4,14,3,174,3,0,17,5,upi,insufficient_funds,0.1872,0
3013359,0,3,3,278,4,4,15,3,card,checkout_abandoned,0.415,1
822292,1,6,1,334,1,1,1,2,netbanking,gateway_error,0.555,1
822172,3,12,1,142,0,0,3,5,unknown,insufficient_funds,0.135,0
337513,0,2,0,44,0,0,19,3,card,checkout_abandoned,0.925,1
4337571,2,15,0,144,4,2,15,1,upi,temporary_gateway_issue,0.95,1
3025519,0,8,3,353,2,0,2,5,upi,card_expired,0.215,1
3554959,3,7,3,333,2,0,23,1,upi,temporary_gateway_issue,0.56,1
151893,4,19,2,55,2,2,22,4,card,user_abandoned,0.4741,0
4851053,4,12,3,307,2,1,1,2,upi,unknown,0.1275,0
4170591,3,16,0,358,2,1,2,0,upi,temporary_gateway_issue,0.7697,0
1101078,1,16,0,161,4,0,4,2,upi,user_abandoned,0.6544,1
950033,1,16,0,285,3,2,1,5,card,unknown,0.4544,0
957852,4,0,1,325,1,0,18,5,upi,unknown,0.455,0
1555999,4,7,1,198,2,0,23,2,upi,insufficient_funds,0.3777,0
2647544,3,18,3,159,3,0,19,2,upi,insufficient_funds,0.365,0
2188127,1,5,2,80,0,0,1,4,card,temporary_gateway_issue,0.4267,1
1491584,4,2,2,31,4,0,1,6,card,temporary_gateway_issue,0.2517,1
3078671,1,4,2,112,3,3,21,1,upi,insufficient_funds,0.465,0
740494,4,12,1,46,2,2,23,0,netbanking,gateway_error,0.7175,1
1496116,0,14,0,353,2,2,22,6,upi,card_expired,0.775,1
1863491,2,13,0,205,2,2,19,2,upi,insufficient_funds,0.7283,0
2307546,5,15,1,52,3,1,17,0,upi,user_abandoned,0.6675,0
3936621,0,17,2,138,2,0,19,2,card,user_abandoned,0.685,1
1038385,5,10,2,74,3,0,20,1,card,temporary_gateway_issue,0.7183,1
2595460,4,2,3,41,2,0,13,0,upi,insufficient_funds,0.05,0
2982452,2,9,3,77,0,0,14,6,card,card_expired,0.2514,0
